Item Fat Content	Item Identifier	Item Type	Outlet Establishment Year	Outlet Identifier	Outlet Location Type	Outlet Size	Outlet Type	Total Sales	Rating
Regular	FDO52	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	172.4106	5
Regular	FDA40	Frozen Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	87.0856	5
Regular	FDS27	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	197.111	5
Regular	FDU15	Meat	2012	OUT049	Tier 1	Medium	Supermarket Type1	37.9532	5
Regular	FDV33	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	259.2304	5
Regular	FDV34	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	73.5038	5
Regular	FDX46	Snack Foods	2012	OUT049	Tier 1	Medium	Supermarket Type1	59.1562	5
low fat	NCA53	Health and Hygiene	2012	OUT049	Tier 1	Medium	Supermarket Type1	50.3034	5
Regular	FDT24	Baking Goods	2012	OUT049	Tier 1	Medium	Supermarket Type1	78.2328	5
Regular	FDX27	Dairy	2012	OUT049	Tier 1	Medium	Supermarket Type1	94.9436	5
Low Fat	NCQ38	Others	1998	OUT019	Tier 1	Small	Grocery Store	108.228	5
Low Fat	FDK02	Canned	1998	OUT019	Tier 1	Small	Grocery Store	120.544	5
Low Fat	FDI15	Dairy	1998	OUT019	Tier 1	Small	Grocery Store	263.1884	5
Low Fat	FDE09	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	109.7228	5
Low Fat	FDS55	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	150.3734	5
Low Fat	FDZ56	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	167.5474	5
Low Fat	NCA05	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	148.2734	5
Low Fat	NCK29	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	123.473	5
Low Fat	NCU29	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	145.976	5
Low Fat	NCX41	Health and Hygiene	1998	OUT019	Tier 1	Small	Grocery Store	210.5244	5
Low Fat	NCG07	Household	1998	OUT019	Tier 1	Small	Grocery Store	189.753	5
Low Fat	NCI30	Household	1998	OUT019	Tier 1	Small	Grocery Store	244.346	5
Low Fat	NCR54	Household	1998	OUT019	Tier 1	Small	Grocery Store	194.711	5
Low Fat	NCT06	Household	1998	OUT019	Tier 1	Small	Grocery Store	167.7842	5
Low Fat	FDN15	Meat	1998	OUT019	Tier 1	Small	Grocery Store	140.318	5
Low Fat	FDJ45	Seafood	1998	OUT019	Tier 1	Small	Grocery Store	34.2216	5
Regular	FDL13	Breakfast	1998	OUT019	Tier 1	Small	Grocery Store	232.73	5
Regular	FDL02	Canned	1998	OUT019	Tier 1	Small	Grocery Store	107.1622	5
Regular	FDF56	Fruits and Vegetables	1998	OUT019	Tier 1	Small	Grocery Store	179.1976	5
Regular	FDQ27	Meat	1998	OUT019	Tier 1	Small	Grocery Store	101.399	5
Regular	FDG35	Starchy Foods	1998	OUT019	Tier 1	Small	Grocery Store	173.8738	5
Regular	FDD38	Canned	1998	OUT019	Tier 1	Small	Grocery Store	103.7674	5
Regular	FDE41	Frozen Foods	1998	OUT019	Tier 1	Small	Grocery Store	83.7566	5
Low Fat	FDP24	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	119.4756	5
Low Fat	FDH38	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	115.8808	5
Low Fat	FDT49	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	107.728	5
Low Fat	FDN02	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	208.8638	5
Low Fat	DRF27	Dairy	2010	OUT046	Tier 1	Small	Supermarket Type1	154.534	5
Low Fat	FDT02	Dairy	2010	OUT046	Tier 1	Small	Supermarket Type1	36.1874	5
Low Fat	FDF05	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	264.491	5
Low Fat	FDI45	Fruits and Vegetables	2010	OUT046	Tier 1	Small	Supermarket Type1	175.5054	5
Low Fat	FDZ20	Fruits and Vegetables	2010	OUT046	Tier 1	Small	Supermarket Type1	252.3356	5
Low Fat	NCC42	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	140.2838	5
Low Fat	NCQ53	Health and Hygiene	2010	OUT046	Tier 1	Small	Supermarket Type1	234.659	5
Low Fat	NCR54	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	198.211	5
Low Fat	NCX06	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	182.6976	5
Low Fat	NCO06	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	32.4558	5
Low Fat	NCN54	Household	2010	OUT046	Tier 1	Small	Supermarket Type1	76.1328	5
Low Fat	FDL27	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	65.9826	5
Low Fat	FDV51	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	165.7842	5
Low Fat	FDC46	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	182.6266	5
Low Fat	FDZ58	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	122.8072	5
Low Fat	FDN21	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	161.0236	5
Low Fat	FDO58	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	166.1526	5
Low Fat	DRD24	Soft Drinks	2010	OUT046	Tier 1	Small	Supermarket Type1	143.3154	5
Low Fat	DRI37	Soft Drinks	2010	OUT046	Tier 1	Small	Supermarket Type1	58.7904	5
Regular	FDI12	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	89.6856	5
Regular	FDP12	Baking Goods	2010	OUT046	Tier 1	Small	Supermarket Type1	36.9874	5
Regular	FDO01	Breakfast	2010	OUT046	Tier 1	Small	Supermarket Type1	130.4994	5
Regular	FDZ37	Canned	2010	OUT046	Tier 1	Small	Supermarket Type1	88.6198	5
Regular	FDJ15	Dairy	2010	OUT046	Tier 1	Small	Supermarket Type1	182.5608	5
Regular	FDM04	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	53.1666	5
Regular	FDI40	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	100.8358	5
Regular	FDX04	Frozen Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	49.9376	5
Regular	FDS15	Meat	2010	OUT046	Tier 1	Small	Supermarket Type1	106.3596	5
Regular	FDJ57	Seafood	2010	OUT046	Tier 1	Small	Supermarket Type1	184.6582	5
Regular	FDG21	Seafood	2010	OUT046	Tier 1	Small	Supermarket Type1	150.405	5
Regular	FDW21	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	99.5358	5
Regular	FDX10	Snack Foods	2010	OUT046	Tier 1	Small	Supermarket Type1	37.1874	5
Low Fat	DRI51	Dairy	2015	OUT045	Tier 2	Medium	Supermarket Type1	171.5764	5
Low Fat	NCZ17	Health and Hygiene	2020	OUT017	Tier 2	Medium	Supermarket Type1	39.1506	5
Low Fat	DRE25	Soft Drinks	2020	OUT017	Tier 2	Medium	Supermarket Type1	91.912	5
Low Fat	FDT60	Baking Goods	2015	OUT045	Tier 2	Medium	Supermarket Type1	124.6388	5
Low Fat	FDN24	Baking Goods	2015	OUT045	Tier 2	Medium	Supermarket Type1	56.1956	5
Low Fat	FDO37	Breakfast	2015	OUT045	Tier 2	Medium	Supermarket Type1	232.0326	5
Low Fat	FDI14	Canned	2015	OUT045	Tier 2	Medium	Supermarket Type1	140.2496	5
Low Fat	FDW37	Canned	2015	OUT045	Tier 2	Medium	Supermarket Type1	89.7488	5
Low Fat	DRC27	Dairy	2015	OUT045	Tier 2	Medium	Supermarket Type1	247.4802	5
Low Fat	FDK16	Frozen Foods	2015	OUT045	Tier 2	Medium	Supermarket Type1	96.0094	5
Low Fat	FDK41	Frozen Foods	2015	OUT045	Tier 2	Medium	Supermarket Type1	83.6224	5
Low Fat	FDY31	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	146.1418	5
Low Fat	FDT20	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	36.8164	5
Low Fat	FDI45	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	175.8054	5
Low Fat	FDG57	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	48.6034	5
Low Fat	FDN32	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	184.8266	5
Low Fat	FDX19	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	233.8958	5
Low Fat	FDP20	Fruits and Vegetables	2015	OUT045	Tier 2	Medium	Supermarket Type1	125.602	5
Low Fat	NCR17	Health and Hygiene	2015	OUT045	Tier 2	Small	Supermarket Type1	116.4492	5
Low Fat	NCT17	Health and Hygiene	2015	OUT045	Tier 2	Small	Supermarket Type1	190.0214	5
Low Fat	NCU05	Health and Hygiene	2015	OUT045	Tier 2	Small	Supermarket Type1	79.1618	5
Low Fat	NCT42	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	148.4392	5
Low Fat	NCV18	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	84.625	5
Low Fat	NCH43	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	216.4192	5
Low Fat	NCE18	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	251.675	5
Low Fat	NCC18	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	173.9422	5
Low Fat	NCJ42	Household	2015	OUT045	Tier 2	Small	Supermarket Type1	104.2332	5
Low Fat	FDQ10	Snack Foods	2015	OUT045	Tier 2	Small	Supermarket Type1	172.4422	5
Low Fat	FDL34	Snack Foods	2015	OUT045	Tier 2	Small	Supermarket Type1	142.6496	5
Low Fat	DRK37	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	189.853	5
Low Fat	DRF48	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	188.1898	5
Low Fat	DRG49	Soft Drinks	2015	OUT045	Tier 2	Small	Supermarket Type1	246.0486	5
Low Fat	FDX60	Baking Goods	2020	OUT017	Tier 2	Small	Supermarket Type1	79.196	5
Low Fat	FDS13	Canned	2020	OUT017	Tier 2	Small	Supermarket Type1	266.8884	5
Low Fat	FDC50	Canned	2020	OUT017	Tier 2	Small	Supermarket Type1	94.4094	5
Low Fat	FDK51	Dairy	2020	OUT017	Tier 2	Small	Supermarket Type1	264.5884	5
Low Fat	FDD17	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	239.6906	5
Low Fat	FDJ28	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	191.2162	5
Low Fat	FDP16	Frozen Foods	2020	OUT017	Tier 2	Small	Supermarket Type1	243.6802	5
Low Fat	FDB20	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	79.1986	5
Low Fat	FDP56	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	49.9692	5
Low Fat	FDT43	Fruits and Vegetables	2020	OUT017	Tier 2	Small	Supermarket Type1	50.8324	5
Low Fat	DRI59	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	223.5088	5
Low Fat	DRN47	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	178.366	5
Low Fat	DRM23	Hard Drinks	2020	OUT017	Tier 2	Small	Supermarket Type1	173.3422	5
Low Fat	NCN53	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	33.5874	5
Low Fat	NCT53	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	163.0526	5
Low Fat	NCQ05	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	149.2708	5
Low Fat	NCM53	Health and Hygiene	2020	OUT017	Tier 2	Small	Supermarket Type1	108.128	5
Low Fat	NCX42	Household	2020	OUT017	Tier 2	Small	Supermarket Type1	163.0526	5
Low Fat	NCT18	Household	2020	OUT017	Tier 2	High	Supermarket Type1	179.6976	5
Low Fat	NCI30	Household	2020	OUT017	Tier 2	High	Supermarket Type1	246.446	5
Low Fat	NCE54	Household	2020	OUT017	Tier 2	High	Supermarket Type1	73.9354	5
Low Fat	FDH19	Meat	2020	OUT017	Tier 2	High	Supermarket Type1	173.8738	5
Low Fat	FDT03	Meat	2020	OUT017	Tier 2	High	Supermarket Type1	183.1608	5
Low Fat	NCN19	Others	2020	OUT017	Tier 2	High	Supermarket Type1	190.253	5
Low Fat	NCQ43	Others	2020	OUT017	Tier 2	High	Supermarket Type1	108.8912	5
Low Fat	FDK09	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	227.2352	5
Low Fat	FDV46	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	139.818	5
Low Fat	FDY46	Snack Foods	2020	OUT017	Tier 2	High	Supermarket Type1	188.9898	5
Regular	FDK26	Canned	2015	OUT045	Tier 2	High	Supermarket Type1	187.624	5
Regular	FDI50	Canned	2015	OUT045	Tier 2	High	Supermarket Type1	227.6352	5
Regular	FDB26	Canned	2015	OUT045	Tier 2	High	Supermarket Type1	52.364	5
Regular	FDY49	Canned	2015	OUT045	Tier 2	High	Supermarket Type1	165.7184	5
Regular	FDB04	Dairy	2015	OUT045	Tier 2	High	Supermarket Type1	88.9856	5
Regular	FDA02	Dairy	2015	OUT045	Tier 2	High	Supermarket Type1	146.3786	5
Regular	FDZ28	Frozen Foods	2015	OUT045	Tier 2	High	Supermarket Type1	128.0678	5
Regular	FDE17	Frozen Foods	2015	OUT045	Tier 2	High	Supermarket Type1	152.2366	5
Regular	FDQ19	Fruits and Vegetables	2015	OUT045	Tier 2	High	Supermarket Type1	241.3512	5
Regular	FDM08	Fruits and Vegetables	2015	OUT045	Tier 2	High	Supermarket Type1	222.9088	5
Regular	FDP03	Meat	2015	OUT045	Tier 2	High	Supermarket Type1	122.1388	5
Regular	FDU58	Snack Foods	2015	OUT045	Tier 2	High	Supermarket Type1	186.4898	5
Regular	FDU46	Snack Foods	2015	OUT045	Tier 2	High	Supermarket Type1	84.854	5
Regular	FDY34	Snack Foods	2015	OUT045	Tier 2	High	Supermarket Type1	167.1842	5
Regular	FDO09	Snack Foods	2015	OUT045	Tier 2	High	Supermarket Type1	262.191	5
Regular	FDP48	Baking Goods	2020	OUT017	Tier 2	High	Supermarket Type1	181.395	5
Regular	FDI12	Baking Goods	2020	OUT017	Tier 2	High	Supermarket Type1	86.8856	5
Regular	FDY12	Baking Goods	2020	OUT017	Tier 2	High	Supermarket Type1	50.0008	5
Regular	FDX48	Baking Goods	2020	OUT017	Tier 2	High	Supermarket Type1	154.0656	5
Regular	FDV60	Baking Goods	2020	OUT017	Tier 2	High	Supermarket Type1	195.811	5
Regular	FDQ47	Breads	2020	OUT017	Tier 2	High	Supermarket Type1	35.2874	5
Regular	FDZ13	Canned	2020	OUT017	Tier 2	High	Supermarket Type1	50.835	5
Regular	FDM04	Frozen Foods	2020	OUT017	Tier 2	High	Supermarket Type1	50.8666	5
Regular	FDS04	Frozen Foods	2020	OUT017	Tier 2	High	Supermarket Type1	141.5838	5
Regular	FDV28	Frozen Foods	2020	OUT017	Tier 2	High	Supermarket Type1	35.1558	5
Regular	FDU19	Fruits and Vegetables	2020	OUT017	Tier 2	Medium	Supermarket Type1	170.5422	5
Regular	FDE56	Fruits and Vegetables	2020	OUT017	Tier 2	Medium	Supermarket Type1	61.5194	5
Regular	FDI07	Meat	2020	OUT017	Tier 2	Medium	Supermarket Type1	197.2426	5
Regular	FDU15	Meat	2020	OUT017	Tier 2	Medium	Supermarket Type1	36.6532	5
Regular	FDU27	Meat	2020	OUT017	Tier 2	Medium	Supermarket Type1	47.1376	5
Regular	FDN39	Meat	2020	OUT017	Tier 2	Medium	Supermarket Type1	167.0816	5
Regular	FDV10	Snack Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	44.0112	5
Regular	FDO45	Snack Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	89.4856	5
Regular	FDB23	Starchy Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	226.6062	5
low fat	NCY41	Health and Hygiene	2020	OUT017	Tier 2	Medium	Supermarket Type1	34.0532	5
Regular	FDW31	Fruits and Vegetables	2020	OUT017	Tier 2	Medium	Supermarket Type1	197.0742	5
Regular	FDR55	Fruits and Vegetables	2020	OUT017	Tier 2	Medium	Supermarket Type1	190.6872	5
Regular	FDX10	Snack Foods	2020	OUT017	Tier 2	Medium	Supermarket Type1	34.3874	5
Low Fat	DRF49	Soft Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	114.4518	5
Low Fat	FDA23	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	99.4016	5
Low Fat	FDR60	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	77.2328	5
Low Fat	FDN60	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	159.9604	5
Low Fat	FDU48	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	131.5284	5
Low Fat	FDG60	Baking Goods	2017	OUT035	Tier 2	Small	Supermarket Type1	234.2616	5
Low Fat	FDU11	Breads	2017	OUT035	Tier 2	Small	Supermarket Type1	121.0098	5
Low Fat	FDT49	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	108.228	5
Low Fat	FDS37	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	114.1492	5
Low Fat	FDK50	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	163.2894	5
Low Fat	FDG26	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	257.833	5
Low Fat	FDD14	Canned	2017	OUT035	Tier 2	Small	Supermarket Type1	184.4266	5
Low Fat	FDK41	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	86.0224	5
Low Fat	FDD16	Frozen Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	72.9696	5
Low Fat	FDZ44	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	115.8808	5
Low Fat	FDO44	Fruits and Vegetables	2017	OUT035	Tier 2	Small	Supermarket Type1	109.9228	5
Low Fat	DRL11	Hard Drinks	2017	OUT035	Tier 2	Small	Supermarket Type1	157.0946	5
Low Fat	NCU17	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	100.6674	5
Low Fat	NCL41	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	36.3216	5
Low Fat	NCS53	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	159.4604	5
Low Fat	NCV17	Health and Hygiene	2017	OUT035	Tier 2	Small	Supermarket Type1	130.2626	5
Low Fat	NCO14	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	42.6086	5
Low Fat	NCU18	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	140.2496	5
Low Fat	NCI54	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	108.1912	5
Low Fat	NCQ50	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	213.3218	5
Low Fat	NCC18	Household	2017	OUT035	Tier 2	Small	Supermarket Type1	172.3422	5
Low Fat	NCQ38	Others	2017	OUT035	Tier 2	Small	Supermarket Type1	106.128	5
Low Fat	FDL10	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	97.9042	5
Low Fat	FDE34	Snack Foods	2017	OUT035	Tier 2	Small	Supermarket Type1	181.2634	5
